IncidentId;UniqueId;Name;Location;Latitude;Longitude;AcresBurnedDisplay;PercentContainedDisplay;ExternalIncidentLink;CountiesList;UpdatedDate;StartedDate;AdminUnit;IncidentTypeDisplay;Url;IsActive;
2001;79968306-21a9-465e-acbe-4ea715c70ab5;Horn Fire;Horn Road and Mail Route Road, 9 miles southeast of Termo  ;40.83116;-120.19336;88;100%;;Lassen;2019-01-04 08:47:00;2018-11-08;CAL FIRE Lassen - Modoc Unit;;https://www.fire.ca.gov/incidents/2018/11/8/horn-fire/;N;
2002;b8fe54be-15a8-4088-b0bb-16992df93a7e;Nurse Fire;off Highway 12 and Nurse Blue Road, Suisun City;38.21396;-121.9424;1,500;100%;;Solano;2019-01-04 08:47:00;2018-11-08;Suisun City Fire Protection District;;https://www.fire.ca.gov/incidents/2018/11/8/nurse-fire/;N;
2003;bc95da49-28a0-4e56-88d9-72e7455063c0;Hill Fire;Hill Canyon Rd and Santa Rosa Rd, Santa Rosa Valley;34.22685;-118.93444;4,531;100%;;Ventura;2019-10-25 10:20:04;2018-11-08;Unified Command: CAL FIRE, Ventura County Fire, Ventura Sheriff Dept, LA County Fire, LA City Fire, LA Sherriff Dept, LA Police Dept;Wildfire;https://www.fire.ca.gov/incidents/2018/11/8/hill-fire/;N;
2004;92d7aeea-7abf-47a4-bf76-a4fe0fac65c6;Woolsey Fire;E Street and Alfa Road Rd, South of Simi Valley;34.235;-118.70128;96,949;100%;;Los Angeles, Ventura;2019-10-25 10:20:42;2018-11-08;Ventura County Fire Dept. and Los Angeles County Fire Dept.;Wildfire;https://www.fire.ca.gov/incidents/2018/11/8/woolsey-fire/;N;
2006;e6b8af54-15fb-42bb-8be9-f323c9d5cc78;Honey Flooding;Lower Skyway and Lower Honey Run, Between Chico and Paradise ;39.71217;-121.77385;0;100%;;Butte;2019-07-09 13:45:23;2018-11-29;CAL FIRE Butte Unit;Flood;https://www.fire.ca.gov/incidents/2018/11/29/honey-flooding/;N;
2007;e83e7346-5b83-4e3a-845c-867fd84d17f0;Morgan Fire;Off Morgan Territory Rd & Storybook Ln, east of San Ramon;37.81111;-121.7944;20;100%;;Contra Costa;2019-01-04 08:44:00;2018-11-15;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2018/11/15/morgan-fire/;N;
2008;116fabb6-7440-4d6d-aa89-668989c028db;Green Hill Fire;off Highway 299 in the area of Green Hill;40.888785;-124.001849;10;100%;;Humboldt;2019-01-04 08:46:00;2018-11-12;CAL FIRE Humboldt - Del Norte Unit;;https://www.fire.ca.gov/incidents/2018/11/12/green-hill-fire/;N;
2009;d18da394-5ed4-4004-8dea-600e15d398e4;Sierra Fire;off Sierra Ave and Riverside Ave;34.18075;-117.43184;147;100%;;San Bernardino;2019-01-04 08:45:00;2018-11-13;Rialto Fire Department;;https://www.fire.ca.gov/incidents/2018/11/13/sierra-fire/;N;
2010;03f49769-b928-44a5-be82-236d3d341eba;Niles Fire; off Palomares Road Niles Canyon Road, northwest of Sunol;37.61158;-121.94182;20;100%;;Alameda;2019-01-04 08:45:00;2018-11-14;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2018/11/14/niles-fire/;N;
2011;c003df4f-d19c-4e21-a90f-81d3f14aaf99;Briggs Fire;off Shell Road and Orr Road, Santa Paula;34.30166667;-119.09916667;150;100%;;Ventura;2019-01-04 08:44:00;2018-11-15;Ventura County Fire Department;;https://www.fire.ca.gov/incidents/2018/11/15/briggs-fire/;N;
2012;c3b66e33-ef00-4874-a29b-b36640c16122;Peak Fire;off Highway 118 and Rocky Peak Road, east of Simi Valley;34.26734825;-118.64381589;186;100%;;Ventura;2020-08-13 11:21:59;2018-11-12;Ventura County Fire Department;Wildfire;https://www.fire.ca.gov/incidents/2018/11/12/peak-fire/;N;
2013;b6fb27e6-073c-4092-b8a8-51e96be987a4;Bear Fire ;off Bear Creek Road and Mayfair Road, Boulder Creek north of Santa Cruz;37.12857;-122.12036;10;100%;;Santa Cruz;2019-01-04 08:44:00;2018-11-16;CAL FIRE San Mateo-Santa Cruz Unit;;https://www.fire.ca.gov/incidents/2018/11/16/bear-fire/;N;
